,Country,year,perc_share_low_CO2_kmeans_1,perc_share_low_CO2_kmeans_2,perc_share_low_CO2_kmeans_3,perc_share_low_CO2_kmeans_4,perc_share_low_CO2_kmeans_5,perc_share_low_CO2_kmeans_6,perc_share_low_CO2_kmeans_7,perc_share_low_CO2_kmeans_8,perc_share_low_CO2_kmeans_9,perc_share_low_CO2_kmeans_10,perc_share_low_CO2_kmeans_11,perc_share_low_CO2_kmeans_12,perc_share_low_CO2_kmeans_13,perc_share_low_CO2_kmeans_14,perc_share_low_CO2_kmeans_15,perc_share_low_CO2_kmeans_16,perc_share_low_CO2_kmeans_17,perc_share_low_CO2_kmeans_18,perc_share_low_CO2_kmeans_19,perc_share_low_CO2_kmeans_20,perc_share_low_CO2_kmeans_21,perc_share_low_CO2_kmeans_22,perc_share_low_CO2_kmeans_23,perc_share_low_CO2_kmeans_24,perc_share_low_CO2_kmeans_25,perc_share_low_CO2_kmeans_26,perc_share_low_CO2_kmeans_27,perc_share_low_CO2_kmeans_28,perc_share_low_CO2_kmeans_29,perc_share_low_CO2_kmeans_30
0,AT,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AT,2011,0.021226915729144556,0.0,0.0,0.0,0.0,0.0,0.021621621621621623,0.0,0.021308331557639035,0.021486892995272885,0.021616947686986597,0.0422029964127453,0.042544139544777704,0.021088148460565163,0.0,0.04234596654668643,0.02143163309044149,0.0,0.0211864406779661,0.04283572499464553,0.0,0.0,0.0,0.021114864864864864,0.020868113522537562,0.02121790791427965,0.020903010033444816,0.0,0.0,0.0
2,AT,2012,0.05610622779128483,0.054854635216675815,0.09437523593808984,0.01807991321641656,0.09028530155290719,0.018125793003443903,0.09219988936013276,0.07486430844095078,0.03602305475504323,0.01858390633711206,0.018628912071535022,0.036003600360036005,0.03675794890645102,0.05560704355885079,0.09120758847136082,0.055350553505535055,0.091324200913242,0.01794043774668102,0.017917935853789643,0.0,0.036101083032490974,0.01836884643644379,0.036703982382088454,0.0365764447695684,0.018542555164101613,0.037023324694557574,0.09155832265152902,0.03635702599527359,0.07332722273143905,0.05504587155963303
3,AT,2013,0.1805869074492099,0.1155802126675913,0.06708407871198568,0.18357044515832951,0.16136468418626093,0.15855039637599094,0.16018306636155605,0.2229654403567447,0.16091954022988506,0.11210762331838565,0.20161290322580644,0.22753128555176336,0.1127141568981064,0.18124150430448574,0.15967153284671534,0.18152938506920807,0.2652519893899204,0.2688774367017701,0.13617793917385385,0.15992689056431345,0.0914703864623828,0.2055733211512106,0.1329198050509526,0.20398912058023572,0.2707581227436823,0.09193288899103653,0.1832340815391663,0.20828511918537373,0.2018389773491814,0.11394712853236097
4,AT,2014,0.17973178487487904,0.15095375325922875,0.1218851570964247,0.18957345971563982,0.10955902492467817,0.12278308321964529,0.055663790704146954,0.12296761852712118,0.13564839934888767,0.13598041881968997,0.1380643379814994,0.13709898546750754,0.08194482381862879,0.19003664992534275,0.1488900920411478,0.15139003578309937,0.10862186014935506,0.1926782273603083,0.12301804264625478,0.12113055181695827,0.16488046166529266,0.15047879616963064,0.17869415807560138,0.10628404410787831,0.10961907371882709,0.15193370165745856,0.12510425354462051,0.13491635186184567,0.12406947890818859,0.14822800161703276
5,AT,2015,0.38788602118454424,0.43109968234760243,0.3891341764573823,0.35213905746609725,0.4287971112615662,0.37416747736286765,0.2867708097502075,0.37690336197798885,0.4139072847682119,0.36234619159054876,0.39667689544195794,0.3325020781379884,0.4525910839556461,0.36958817317845827,0.4153451140311131,0.5182514646237044,0.44913541432741977,0.3386514148103552,0.41173828417427755,0.3725669099756691,0.38314176245210724,0.39581777445855115,0.40850291247446857,0.5027010804321729,0.39748012599370036,0.31612223393045313,0.37673297166968056,0.4214328717639976,0.3459166791998797,0.4231205137891953
6,AT,2016,0.3899065695578607,0.46443051971986726,0.4448982568740428,0.43799813312271124,0.425163940332925,0.455480458419042,0.532496899846816,0.41377272055563763,0.42065564258775745,0.4794769342535416,0.5469661610268378,0.44023772837332154,0.5257393209200438,0.4451904831411473,0.46160609613130127,0.4008162075499198,0.4567534256506924,0.6059721106811711,0.4850801117154197,0.46208009388293975,0.4968944099378882,0.47493789273710363,0.5299183042614264,0.39791636521487483,0.4151795469444242,0.5239412021539805,0.4448982568740428,0.38386325776779895,0.4905909057626126,0.4477180820335066
7,AT,2017,1.2280701754385965,1.0416666666666665,0.18083182640144665,0.8976660682226212,1.36986301369863,0.9380863039399625,0.3527336860670194,0.36101083032490977,0.5660377358490566,0.5597014925373134,0.36036036036036034,0.796812749003984,1.2844036697247707,0.3552397868561279,0.929368029739777,0.5639097744360901,0.3703703703703704,1.090909090909091,1.1090573012939002,0.37593984962406013,0.7312614259597806,0.5681818181818182,1.0849909584086799,0.7633587786259541,0.9803921568627451,1.1342155009451798,0.0,0.5405405405405406,0.8944543828264758,1.0084033613445378
8,AT,2018,0.7315957933241883,0.724966017217943,0.8304195804195804,0.6717420510523959,0.7373271889400922,0.7119126720455624,0.949367088607595,0.7014467338886453,0.7525453740593183,0.6790402897238569,0.7142857142857143,0.6186478126380911,0.5957836846929423,0.6211180124223602,0.6272401433691757,0.6787330316742082,0.6258381761287439,0.916590284142988,0.6386861313868614,0.6765899864682002,0.4589261128958238,0.7266121707538601,0.5454545454545455,0.7452871547566856,0.8908685968819599,0.8415147265077139,0.8467023172905526,0.8433200177541057,0.6016330038676407,0.5219660722053067
9,AT,2019,0.8571428571428572,0.6765899864682002,0.6272401433691757,0.3902439024390244,0.5308880308880308,0.9628610729023385,0.6246996636232581,0.9758364312267658,0.9633911368015413,0.665083135391924,0.5527406725011516,0.6146572104018913,0.8126195028680689,0.6909258406264395,0.33396946564885494,0.8995502248875562,0.8641382621219394,0.33816425120772947,0.4368932038834952,0.8157389635316697,0.46339202965708987,0.5763688760806917,0.7359705611775529,0.5966039467645708,0.372960372960373,0.46882325363338023,0.6724303554274735,0.9813084112149533,0.8542952064546749,0.5870841487279843
