,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
244057,1112153,fr,ip-mqb27sz_a0_0216-wau-1,vw-saic,audi ag,audi ag,audi ag,e1*2007-46*1892*13,gb,hdkrff1,fd7fd7cw007rt81b174bfaem1ab0,audi,a1 city carver,m1,m1,1.0,1245.0,1364.0,117.0,146.0,2554.0,1522.0,1522.0,petrol,m,999.0,85.0,,e13 17 19,2.7,,,,f,2020,,,
141392,10930013,at,ip-yhy____be__611c-vr3-0,psa-opel,psa,psa automobiles sa,psa automobiles sa,e2*2007-46*0624*08,e,c,yhyc-a2p000,citroen,berlingo,m1,m1,1.0,1480.0,1646.0,107.0,141.0,2785.0,1563.0,1577.0,diesel,m,1499.0,75.0,,,,,,,f,2020,,,
56969,3822776,gb,ip-mqb27zz_a1_0213-wau-1,vw-saic,audi ag,audi ag,audi,e1*2007-46*1892*06,gb,sdklaf1,fm5fm5df002rt11c174bfem1a,audi,a1 s line 25 tfsi,m1,m1,1.0,1165.0,1290.0,107.0,131.0,2550.0,1511.0,1490.0,petrol,m,999.0,,,,,,,,f,2020,,,
148684,8671225,fi,ip-mqb37as_a0_0304-tmb-1,vw-saic,skoda,skoda auto as,skoda auto as,e8*2007-46*0249*15,ns,acdpcax0,nfd7fd7gc0084bf3ns7n1a8a,skoda,kodiaq,m1,m1,1.0,1624.0,1795.0,133.0,168.0,2788.0,1586.0,1576.0,petrol,m,1498.0,110.0,,e8 17 19,2.6,,,,f,2020,,,
414338,357254,lu,,pool renault,dacia,automobile dacia sa,automobile dacia,e2*2001-116*0314*65,sd,4sdaa,4sdaa5,dacia,logan,m1,,1.0,1133.0,,116.0,,2634.0,1497.0,1486.0,petrol,m,898.0,66.0,,,,,,,f,2013,,,
377060,97054,de,,pool renault,renault,renault sas,renault,e2*2001-116*0363*33,t,ltf0,ltf00e,renault,latitude,m1,,6.0,1695.0,,170.0,,2762.0,1565.0,1562.0,diesel,m,1995.0,127.0,,,,,,,f,2013,,,
392207,91296,de,,general motors,opel,adam opel ag,opel,e4*2007-46*0204*14,p-j-sw,ecdca12,ba2n1japa5,opel,zafira tourer,m1,,2.0,1701.0,,154.0,,2760.0,1577.0,1577.0,petrol,m,1364.0,103.0,,,,,,,f,2013,,,
252522,131449,de,,vw group pc,volkswagen,volkswagen ag,volkswagen-vw,e1*2001-116*0252*37,2k,afcaydx01,l0j2fm5fm5a4056n1sbvr07mj,volkswagen vw,caddy,m1,,1.0,1532.0,,149.0,,3006.0,1537.0,1544.0,diesel,m,1598.0,75.0,,,,,,,f,2013,,,
178751,430988,si,,bmw group,bmw ag,bayerische motoren werke ag,,e1*2007-46*0315*08,3k,71,5h000,bmw,325 - touring - d,m1,,1.0,1615.0,,134.0,,2810.0,1543.0,1584.0,diesel,m,1995.0,160.0,,,,,,,f,2013,,,
372277,62861,de,,vw group pc,audi ag,audi ag,audi,e1*2001-116*0430*27,b8,acdhaf1,favaw006rb8k1s57mgem1,audi,a4 avant,m1,,1.0,1600.0,,149.0,,2817.0,1566.0,1554.0,petrol,m,1798.0,88.0,,,,,,,f,2013,,,
398953,92928,de,,general motors,opel,adam opel ag,opel,e4*2007-46*0165*06,s-d monocab b,bg11,2aagb8xffk5,opel,meriva,m1,,10.0,1571.0,,139.0,,2644.0,1488.0,1509.0,diesel,m,1686.0,81.0,,,,,,,f,2013,,,
339356,417602,ro,,,mazda,mazda motor corporation,,e11*2001-116*0262*07,bl,b2z,2eu,mazda,mazda 3,m1,,47.0,1297.0,,147.0,,2640.0,1530.0,1515.0,petrol,m,1598.0,77.0,,,,,,,f,2013,,,
224527,17506,at,,,volvo,volvo car corporation,volvo,e4*2001-116*0076*31,m,mv84,mv848b??,volvo,v40,m1,,5.0,1526.0,,102.0,,2647.0,1551.0,1538.0,diesel,m,1560.0,84.0,,,,,,,f,2013,,,
47139,199558,fr,,vw group pc,skoda,skoda auto as,skoda auto as,e11*2001-116*0230*47,1z,accfhcx11,nam6am62q0310,skoda,octavia,m1,,13.0,1495.0,,148.0,,2575.0,1523.0,1491.0,diesel,m,1968.0,103.0,,,,,,,f,2013,,,
315103,222872,gb,,fiat group automobiles spa,fiat group,fiat group automobiles spa,fiat,e3*2001-116*0217*33,199lxy1al0h,lxy1a,l0h,fiat,fiat 500l,m1,,139.0,1370.0,,110.0,,2612.0,1522.0,1519.0,diesel,m,1248.0,62.0,,,,,,,f,2013,,,
57412,241724,gb,,pool renault,renault,renault sas,renault,e2*2001-116*0327*56,r,2rfl,2rfl1h,renault,captur,m1,,195.0,1245.0,,95.0,,2606.0,1531.0,1516.0,diesel,m,1461.0,66.0,,,,,,,f,2013,,,
424706,347236,it,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0211*32,1t,cfjbaf,fd6fd62e0187mjs7s1vr0so,volkswagen,touran,m1,,2.0,1639.0,,150.0,,2675.0,1535.0,,diesel,m,1968.0,130.0,,,,,,,f,2013,,,
58325,250136,gb,,,volvo,volvo car corporation,volvo,e4*2001-116*0076*29,m,mv04,mv0401,volvo,v40 se d2,m1,,1.0,1476.0,,94.0,,2647.0,1551.0,1538.0,diesel,m,1560.0,,,,,,,,f,2013,,,
301989,214758,gb,,bmw group,bmw ag,bayerische motoren werke ag,bmw,e1*2007-46*0559*03,3-v,3y32,6a250000,bmw,320d,m1,,2.0,1650.0,,131.0,,2920.0,1541.0,1570.0,diesel,m,1995.0,135.0,,,,,,,f,2013,,,
274208,172078,fi,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2007-46*0623*09,au,ac4clhax0,fd7fd7cw002n7mjovlvr2,volkswagen,golf,m1,,7.0,1337.0,,102.0,,2620.0,1550.0,1522.0,diesel,m,1598.0,77.0,,,,,,,f,2013,,,
147045,296455,hu,,pool renault,renault,renault sas,renault,e2*2001-116*0379*31,jz,jz1g,jz1ga2,renault,megane scenic,m1,,1.0,1545.0,,128.0,,2772.0,1538.0,1539.0,diesel,m,1461.0,81.0,,,,,,,f,2013,,,
217978,156789,es,,honda motor europe ltd,honda motor co,honda motor co ltd,"honda motor co., ltd.",e6*2001-116*0115,cu3,38,8,honda,accord,m1,,1.0,1728.0,,162.0,,2705.0,1585.0,1590.0,,,2199.0,,,,,,,,f,2013,,,
94939,46057,be,,vw group pc,volkswagen,volkswagen ag,volkswagen,e1*2007-46*0539*12,16,aacaycx0,fm5fm5a4051n7mqvivr0,"volkswagen, vw",jetta,m1,,3.0,1392.0,,119.0,,2633.0,1527.0,1523.0,diesel,m,1598.0,77.0,,,,,,,f,2013,,,
110156,52779,cz,,,automobiles citroen,automobiles citroen,automobiles citroen,e2*2001-116*0350*20,x,xcahz,xcahz4,citroen,jumpy,m1,,42.0,2013.0,,172.0,,3000.0,1695.0,,diesel,m,1997.0,94.0,,,,,,,f,2013,,,
29437,194356,fr,,general motors,opel,adam opel ag,adam opel ag,e4*2007-46*0165*05,s-dmonocabb,bb11,3aadb5peem5,opel,meriva,m1,,30.0,1471.0,,109.0,,2644.0,1488.0,1509.0,diesel,m,1248.0,70.0,,,,,,,f,2013,,,
436783,248549,gb,,vw group pc,volkswagen,volkswagen ag,volkswagen,e13*2007-46*1167*05,aa,abchyb,fm5fm5cf0047mgvr2n1fa1vw,volkswagen,high up bluemotion technology,m1,,10.0,940.0,,98.0,,2407.0,1412.0,1408.0,petrol,m,999.0,,,,,,,,f,2013,,,
393840,58169,cz,,vw group pc,quattro,quattro gmbh,quattro,e1*2001-116*0447*07,b8,acfsaqd7,,audi,rs4 avant,m1,,1.0,1870.0,,249.0,,2819.0,1650.0,,petrol,m,4163.0,331.0,,,,,,,f,2013,,,
407434,336217,it,,fiat group automobiles spa,fiat group,fiat group automobiles spa,fiat,e3*2007-46*0027*00,,,,alfa romeo,alfa giulietta,m1,,2.0,1401.0,,114.0,,2634.0,1554.0,,diesel,m,1598.0,77.0,,,,,,,f,2013,,,
231996,33228,be,,,hyundai czech,hyundai motor manufacturing czech sro,hyundai,e4*2007-46*0207*02,jc,f5d51,m63az1,hyundai,ix20,m1,,121.0,1406.0,,125.0,,2615.0,1541.0,1545.0,diesel,m,1582.0,85.0,,,,,,,f,2013,,,
109786,3916,at,,pool renault,dacia,automobile dacia sa,automobile dacia,e2*2001-116*0314*67,sd,5sda4,5sda45,dacia,sandero,m1,,1.0,1186.0,,99.0,,2589.0,1497.0,1486.0,diesel,m,1461.0,55.0,,,,,,,f,2013,,,
101837,43265,be,,toyota -daihatsu group,toyota,toyota motor europe nv sa,toyota,e11*2007-46*0020*01,xp12(a),nlp121(hc),nlp121l-chfgxw(1b),toyota,toyota verso-s,m1,,1.0,1237.0,,113.0,,2550.0,1470.0,1460.0,diesel,m,1364.0,66.0,,,,,,,f,2013,,,
109122,38572,be,,general motors,opel,adam opel ag,opel,e1*2007-46*0374*09,0g-a,fm21,6aafg9dfebl5,opel,insignia sports tourer sw,m1,,1.0,1901.0,,149.0,,2737.0,1585.0,1587.0,diesel,m,1956.0,118.0,,,,,,,f,2013,,,
248891,125317,de,,vw group pc,volkswagen,volkswagen ag,volkswagen-vw,e1*2001-116*0450*18,5n,accthdx0,fd6fd62e027ndvivr27mjo,volkswagen,tiguan,m1,,14.0,1551.0,,164.0,,2605.0,1549.0,1551.0,petrol,m,1390.0,118.0,,,,,,,f,2013,,,
35862,208281,gb,,vw group pc,audi ag,audi ag,audi,e1*2001-116*0430*26,b8,lclabf1,favaw012rb8k3s57mgem1,audi,a4 se tdi cvt,m1,,1.0,1665.0,,129.0,,2817.0,1550.0,1538.0,diesel,m,2967.0,,,,,,,,f,2013,,,
