,ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,Electric range (km)
192269,26050,be,,,hyundai,hyundai motor company,hyundai,e4*2001-116*0129*09,tq,f8d82,a51az1,hyundai motor (kor),h-1,m1,,1.0,2260.0,,231.0,,3200.0,1685.0,1660.0,diesel,m,2497.0,125.0,,,,,,,f,2011,,,
170342,160906,it,,mitsubishi motors,mitsubishi motors corporation,mitsubishi motors corportion mmc,mitsubishi motors corporation,e1*2001-116*0385*12,v80,v8524,adabb5b5caga,mitsubishi,pajero,m1,,1.0,2180.0,,216.0,,2545.0,1560.0,,diesel,m,3200.0,147.0,,,,,,,f,2011,,,
80414,4892,at,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford,,dyb,tyda1k,5qncnd,ford,"focus 5t trend 2,0d",m1,,29.0,1522.0,,139.0,,2648.0,1559.0,1549.0,diesel,m,1997.0,,,,,,,,f,2011,,,
199262,124939,fi,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford-werke,e13*2007-46*1103*03,dxa,ufdb1h,7nlcpg,ford,grand c-max,m1,,3.0,1641.0,,139.0,,2788.0,1559.0,1569.0,diesel,m,1997.0,103.0,,,,,,,f,2011,,,
303688,86239,dk,,,fiat group automobiles spa,fiat group automobiles spa,fiat,e3*2001-116*0217*22,199,bxy1a,49b,fiat,fiat punto,m1,,29.0,1220.0,,95.0,,2510.0,1467.0,1460.0,diesel,m,1248.0,62.0,,,,,,,f,2011,,,
156378,135299,fr,,,fiat group automobiles spa,fiat group automobiles spa,fiat,e3*2001-116*0248*21,198,axt1b,16,fiat,fiat bravo,m1,,22.0,1435.0,,135.0,,2600.0,1538.0,1532.0,diesel,m,1956.0,121.0,,,,,,,f,2011,,,
288656,76405,de,,vw group pc,skoda,skoda auto as,skoda (cz),e11*2001-116*0230*43,1z,accaycx01,nfm5fm5a40517,skoda,octavia,m1,,54.0,1375.0,,109.0,,2575.0,1541.0,1514.0,diesel,m,1598.0,77.0,,,,,,,f,2011,,,
188971,25332,be,,,out of scope,ford-werke gmbh,ford,e13*2001-116*0157*13,db3,g6db1x,4nlbp6,ford,focus cc,m1,,1.0,1608.0,,156.0,,2640.0,1545.0,1541.0,diesel,m,1997.0,100.0,,,,,,,f,2011,,,
108897,308964,gb,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford,e13*2007-46*1138*01,dyb,t1db1l,5daamc,ford,focus titanium x tdci,m1,,5.0,1424.0,,109.0,,2648.0,1559.0,1549.0,diesel,m,1560.0,,,,,,,,f,2011,,,
123726,277738,gb,,,aa-iva,aa-iva,skoda,,1z,aacegax01,nfm6fm62q0170,skoda,octavia vrs tdi cr,m1,,1.0,1470.0,,149.0,,,,,diesel,m,1968.0,,,,,,,,f,2011,,,
310145,58213,de,,daimler ag,daimler ag,daimler ag stuttgart,daimler (d),e1*2007-46,639-2,kaa71320e,3m3c2t29,mercedes-benz,vito,m1,,1.0,2185.0,,190.0,,3430.0,1630.0,1630.0,diesel,m,2143.0,100.0,,,,,,,f,2011,,,
325104,147069,ie,,mitsubishi motors,mitsubishi motors corporation,mitsubishi motors corportion mmc,,,colt,1.3 invite 5-door amt 5dr auto,1.3 invite 5-door amt 5dr auto,mitsubishi,mitsubishi,m1,,8.0,1955.0,,127.0,,2500.0,1695.0,,petrol,m,,,,,,,,,f,2011,,,
170932,161496,it,,,opel,adam opel ag,adam opel ag,e1*2001-116*0379*19,s-d,kn11,1aacd5b2cca5,opel,corsa,m1,,54.0,1199.0,,125.0,,2511.0,1485.0,,petrol,m,1229.0,63.0,,,,,,,f,2011,,,
9992,257492,se,,,bmw ag,bayerische motoren werke ag,bmw,,ukl-x,zc31,5b,mini,cooper s countryman,m1,,2.0,1410.0,,166.0,,2595.0,1526.0,1551.0,petrol,m,1598.0,,,,,,,,f,2011,,,
51100,227912,pl,,,nissan,nissan international sa,,,,,,nissan,murano,m1,,1.0,1865.0,,219.0,,2753.0,1888.0,,petrol,m,3498.0,188.0,,,,,,,f,2011,,,
155656,134577,fr,,daimler ag,daimler ag,daimler ag stuttgart,daimler ag,e1*2001-11,221,i1bbp0,nzaab501,mercedes benz,classe s,m1,,1.0,2060.0,,179.0,,3165.0,1600.0,1606.0,diesel,m,2987.0,190.0,,,,,,,f,2011,,,
260847,184087,fi,,vw group pc,audi ag,audi ag,audi ag,e1*2001-116*0430*31,b8,scnhaq1,qd7b5027rb8tas57mmem1,audi,a5 sportback,m1,,1.0,1760.0,,135.0,,2817.0,1595.0,1584.0,diesel,m,1968.0,140.0,,,,,,,f,2014,,,
299222,197361,fr,,na,automobiles peugeot,automobiles peugeot,automobiles peugeot,e2*2001-116*0362*37,4,h9hd,8-s,peugeot,308,m1,,2.0,1560.0,,129.0,,2708.0,1536.0,1531.0,diesel,m,1560.0,84.0,,,,,,,f,2014,,,
209340,35671,be,,bmw group,bmw ag,bayerische motoren werke ag,mini,e1*2007-46*0371*13,ukl-l,xn91,6a2400c0,mini,cooper sd,m1,,5.0,1265.0,,107.0,,2495.0,1485.0,1485.0,diesel,m,1995.0,125.0,,,,,,,f,2014,,,
148047,294426,it,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0277*08,1c,1j71,6a040700,bmw,m235i,m1,,9.0,1545.0,,176.0,,2690.0,1516.0,1532.0,petrol,m,2979.0,240.0,,,,,,,f,2014,,,
78461,364182,pl,,general motors,opel,adam opel ag,,e4*2007-46*0537*09,j-a,jmxxfxx,m44pfxgxggr,opel,mokka,m1,,2.0,1394.0,,145.0,,2555.0,1540.0,1540.0,petrol,m,1364.0,103.0,,,,,,,f,2014,,,
189657,142347,de,,na,volvo,volvo car corporation,volvo (s),e9*2001-116*0065*17,b,bw88,bw88a0,volvo,v70,m1,,1.0,1814.0,,149.0,,2816.0,1585.0,1586.0,diesel,m,1984.0,120.0,,,,,,,f,2014,,,
334867,12490,at,,pool renault,renault,renault sas,renault s.a.s.,e2*2001-116*0327*56,r,7rtl,7rtl0e,renault,clio,m1,,1.0,1255.0,,95.0,,2589.0,1501.0,1505.0,diesel,m,1461.0,66.0,,,,,,,f,2014,,,
296663,224802,gb,,na,automobiles peugeot,automobiles peugeot,peugeot,e11*2001-116*0237*10,p*****,pmcfb*,pmcfb4,peugeot,107 active,m1,,2.0,900.0,,99.0,,2340.0,1415.0,1405.0,petrol,m,998.0,,,,,,,,f,2014,,,
253192,171432,es,,general motors,opel,adam opel ag,adam opel ag,e1*2007-46*0374*11,0ga,aadlc12,ba1k2jdwa5,opel,insignia,m1,,1.0,1571.0,,123.0,,2737.0,1587.0,1590.0,petrol,m,1364.0,,,,,,,,f,2014,,,
84755,14723,at,,pool renault,renault,renault sas,renault s.a.s.,e2*2001-116*0373*50,z,bzy3,bzy306,renault,megane,m1,,1.0,1401.0,,169.0,,2641.0,1546.0,1547.0,petrol,m,1998.0,162.0,,,,,,,f,2014,,,
290237,220876,gb,,vw group pc,audi ag,audi ag,audi,e1*2007-46*0436*13,4g,aclaaq1,qd7b5027r4g72s57mjem2,audi,a6 s line tdi quattro auto,m1,,1.0,1865.0,,152.0,,2921.0,1614.0,1610.0,diesel,m,2967.0,,,,,,,,f,2014,,,
39922,202341,fr,,daimler ag,daimler ag,daimler ag,daimler ag,e1*2001-116*0470*11,245g,234hq2,ozabb543,mercedes benz,classe cla,m1,,11.0,1430.0,,125.0,,2699.0,1551.0,1552.0,petrol,m,1595.0,115.0,,,,,,,f,2014,,,
187090,159034,es,,na,automobiles peugeot,automobiles peugeot,automobiles peugeot,e2*2007-46*0070*13,c,cc9hp,cc9hp0-s,peugeot,208,m1,,7.0,1155.0,,100.0,,2538.0,1470.0,1472.0,diesel,m,1560.0,,,,,,,,f,2014,,,
261977,143595,dk,,na,automobiles citroen,automobiles citroen,automobiles citroen,e2*2007-46*0003*29,s,schmz,schmz0-1ps,citroen,c3,m1,,43.0,1055.0,,95.0,,2451.0,1469.0,1471.0,petrol,m,1199.0,60.0,,,,,,,f,2014,,,
363786,100104,de,,daimler ag,daimler ag,daimler ag,daimler (d),e1*2007-46*0548*06,172,k4s8m0,nzaaa200,mercedes-benz,slk 200,m1,,6.0,1470.0,,142.0,,2430.0,1585.0,1560.0,petrol,m,1796.0,135.0,,,,,,,f,2014,,,
294601,222740,gb,,vw group pc,audi ag,audi ag,audi,e1*2007-46*0607*12,8v,scxsaf1,fd7am006r8v617m8em1,audi,a3,m1,,1.0,1300.0,,116.0,,2620.0,,,petrol,m,1395.0,,,,,,,,f,2014,,,
171970,373613,pl,,vw group pc,volkswagen,volkswagen ag,volkswagen,e1*2001-116*0252*39,2k,accaydx01,l0j2fm5fm5a4056n1stvr07mj,volkswagen,caddy,m1,,2.0,1591.0,,152.0,,3006.0,1537.0,1544.0,diesel,m,1598.0,75.0,,,,,,,f,2014,,,
386758,340077,nl,,daimler ag,daimler ag,daimler ag,daimler ag,e1*2001-116*0335*24,221,p17vr0,nzaab401,mercedes-benz,s 500,m1,,1.0,2015.0,,207.0,,3165.0,1643.0,1647.0,petrol,,4663.0,335.0,,,,,,,f,2014,,,
285942,6925,at,,daimler ag,daimler ag,daimler ag,daimler ag,e1*2007-46*0457*08,639-2,kaa71305n,3a2b2u29,mercedes-benz,vito,m1,,3.0,2328.0,,214.0,,3430.0,1630.0,1630.0,diesel,m,2143.0,100.0,,,,,,,f,2014,,,
244122,110341,de,,hyundai,hyundai czech,hyundai motor manufacturing czech sro,hyundai motor (cz),e11*2007-46*0337*04,gdh,b5p11,m61cz1,hyundai,i 30,m1,,169.0,1260.0,,143.0,,2650.0,1585.0,1563.0,petrol,m,1396.0,73.0,,,,,,,f,2014,,,
62718,232029,gb,,daimler ag,daimler ag,daimler ag,mercedes,e1*2001-116*0470*07,245g,1212m2,azaab503,mercedes,a180 blueefficiency sport cdi,m1,,242.0,1395.0,,105.0,,2699.0,1559.0,1552.0,diesel,m,1461.0,,,,,,,,f,2014,,,
384759,338078,nl,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0273*11,1k2,1n31,5h040000,bmw,116ed,m1,,1.0,1390.0,,99.0,,2690.0,1521.0,1555.0,diesel,m,1598.0,85.0,,,,,,,f,2014,,,
141676,300217,it,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford werke,e13*2007-46*1138*11,dyb,txdb1k,5nfand,ford,focus,m1,,6.0,1421.0,,124.0,,2648.0,1559.0,,diesel,m,1997.0,120.0,,,,,,,f,2014,,,
240515,129795,de,,vw group pc,volkswagen,volkswagen ag,volkswagen-vw,e1*2001-116*0242*50,1k,aecaycx0,fm5fm5a4051e7mjvi,volkswagen,golf,m1,,30.0,1501.0,,117.0,,2577.0,1585.0,1500.0,diesel,m,1598.0,77.0,,,,,,,f,2014,,,
14110,266610,gr,,hyundai,hyundai assan,hyundai assan otomotiv sanayi ve,hyundai assan otomotiv sanayi ve ticaret as,e11*2007-46*0129*03,pbî¤,f5d101,m65az1,hyundai,i20,m1,,88.0,1207.0,,99.0,,2525.0,1491.0,1489.0,diesel,m,1120.0,55.0,,,,,,,f,2014,,,
254034,172274,es,,general motors,opel,adam opel ag,adam opel ag,e4*2007-46*0204*17,pj,sw-echca12,ba2r5fpha7,opel,zafira,m1,,2.0,1733.0,,139.0,,2760.0,1577.0,1577.0,diesel,m,1956.0,,,,,,,,f,2014,,,
254292,172532,es,,pool renault,renault,renault sas,renault s.a.s.,e2*2001-116*0327*65,r,2rfl,2rfl1h,renault,captur,m1,,1.0,1245.0,,95.0,,2606.0,1531.0,1516.0,diesel,m,1461.0,,,,,,,,f,2014,,,
262348,143966,dk,,bmw group,bmw ag,bayerische motoren werke ag,bmw ag,e1*2007-46*0273*08,1k2,1n31,5h050000,bmw,116ed,m1,,1.0,1390.0,,99.0,,2690.0,1521.0,1556.0,diesel,m,1598.0,85.0,,,,,,,f,2014,,,
90170,48848,be,,general motors,opel,adam opel ag,opel,e1*2007-46*0141*20,p-j,caeda13,ba1h1ehta5,opel,astra,m1,,35.0,1393.0,,154.0,,2685.0,1541.0,1551.0,petrol,m,1598.0,85.0,,,,,,,f,2014,,,
170002,371645,pl,,vw group pc,volkswagen,volkswagen ag,,e1*2001-116*0307*34,3c,aacaxax0,fm6fm6aj009stp07mjsnvr00,volkswagen,passat,m1,,4.0,1440.0,,145.0,,2711.0,1541.0,1541.0,petrol,m,1390.0,90.0,,,,,,,f,2014,,,
32434,192353,es,,hyundai,hyundai czech,hyundai motor manufacturing czech sro,hyundai motor manufacturing czech s.r.o.,e11*2007-46*2724*01,tle,f5paa,d71zz1,hyundai,tucson,m1,,1.0,1690.0,,175.0,,2670.0,1604.0,1615.0,petrol,m,1591.0,,,,,,,,f,2015,,,
155454,295794,hr,,vw group pc,skoda,skoda auto as,"skoda auto a.s., tr. vaclava klementa 869, cz-29360 mlada boleslav, republika ceská",e11*2007-46*0243*15,5e,accjsax0,nfm6fm62s031stml677,skoda,octavia,m1,,12.0,1342.0,,136.0,,2676.0,1549.0,1502.0,petrol,m,1798.0,132.0,,,,,,,f,2015,,,
424018,343956,lu,,general motors,opel,adam opel ag,adam opel ag,e4*2007-46*0537*11,j-a,jmxxaxx,a44pax4yrrb,opel,mokka,m1,,3.0,1445.0,,149.0,,2555.0,1540.0,1540.0,petrol,m,1364.0,103.0,,,,,,,f,2015,,,
91440,14521,at,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford werke gmbh,e13*2007-46*1103*12,dxa,t3db1h,7ddcnf,ford,"grand c-max easy 1,6d",m1,,3.0,1504.0,,120.0,,2788.0,1554.0,1564.0,diesel,m,1560.0,70.0,,,,,,,f,2015,,,
391237,92157,cz,,vw group pc,audi ag,audi ag,"audi ag, ingolstadt, srn",e1*2007-46*0414*16,8x,schzbf1,fm5df002p8x04lls57mmem2,audi,a1 sportback,m1,,1.0,1135.0,,98.0,,2457.0,1456.0,1450.0,petrol,m,999.0,70.0,,,,,,,f,2015,,,
205518,158923,de,,vw group pc,volkswagen,volkswagen ag,volkswagen-vw,e1*2001-116*0450*21,5n,accuwax1,ad7ad7bh003gdstvr27mm62,volkswagen vw,tiguan,m1g,,10.0,1727.0,,150.0,,2605.0,1575.0,1577.0,diesel,m,1968.0,135.0,,,,,,,f,2015,,,
105724,40878,at,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0220*37,7hc,mcxfa300x0,nnfm6500816tvr27mmg02l63272,"volkswagen, vw",multivan,m1,,1.0,2063.0,,161.0,,3000.0,1624.0,1630.0,diesel,m,1968.0,110.0,,,,,,,f,2015,,,
267871,107669,de,,vw group pc,audi ag,audi ag,audi,e1*2001-116*0430*37,b8,a2deuaf1,fm6dj002p8w05s57mmem1,audi,a4 avant,m1,,6.0,1550.0,,109.0,,2828.0,1575.0,1568.0,diesel,m,1968.0,110.0,,,,,,,f,2015,,,
422620,346979,lu,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0220*40,7hc,mcxeb308x1,nnad7bt0117tvr27mmg02l64272,volkswagen,multivan,m1,,3.0,2195.0,,172.0,,3000.0,1624.0,1630.0,diesel,m,1968.0,150.0,,,,,,,f,2015,,,
129906,313838,it,,,automobiles citroen,automobiles citroen,automobiles citroen,e2*2007-46*0356*09,3,dbhy6,2sm,citroen,c4 picasso,m1,,210.0,1371.0,,99.0,,2785.0,1590.0,1587.0,diesel,m,1560.0,73.0,,,,,,,f,2015,,,
5697,238197,fr,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2007-46*0539*16,16,aecbzbx0,fm6fm6aj010lln7mjvivr0,volkswagen,beetle,m1,,56.0,1388.0,,142.0,,2538.0,1570.0,1546.0,petrol,m,1197.0,77.0,,,,,,,f,2015,,,
382453,88651,bg,,general motors,opel,adam opel ag,adam opel ag,e4*2007-46*0165*12,s-d monocab b,eadta11,bx1h1ekxj5,opel,meriva,m1,,3.0,1386.0,,140.0,,2644.0,1488.0,1509.0,petrol,m,1398.0,74.0,,,,,,,f,2015,,,
197463,401990,ro,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford-werke gmbh,e13*2001-116*0249*28,ba7,unce1e,5agdnf,ford,mondeo,m1,,1.0,1485.0,,136.0,,2850.0,1589.0,1585.0,petrol,m,1498.0,118.0,,,,,,,f,2015,,,
314841,224441,fr,,daimler ag,daimler ag,daimler ag,daimler ag,e1*2001-116*0502*20,207,l361p0,nzaab404,mercedes benz,classe e,m1,,2.0,1735.0,,165.0,,2760.0,1552.0,1533.0,petrol,m,3498.0,245.0,,,,,,,f,2015,,,
46055,198474,es,,vw group pc,seat,seat sa,"seat,s.a.",e9*2007-46*0094*15,5f,fczeax0v,fd7sfd7cw0067mmvlo564,seat,leon,m1,,4.0,1297.0,,111.0,,2620.0,1549.0,1520.0,petrol,m,1395.0,,,,,,,,f,2015,,,
227598,35418,at,,vw group pc,skoda,skoda auto as,skoda auto a.s. tr. vaclava klementa 869,e11*2007-46*0243*09,5e,acckfcx0,nfm6fm62q025stvl7,skoda,octavia,m1,,1.0,1470.0,,110.0,,2668.0,1533.0,1504.0,diesel,m,1968.0,110.0,,,,,,,f,2015,,,
147386,298626,hu,,bmw group,bmw ag,bayerische motoren werke ag,mini,e1*2007-46*0371*20,ukl-l,xm51,6a1400c0,mini,cooper,m1,,2.0,1190.0,,109.0,,2495.0,1501.0,1501.0,petrol,m,1499.0,100.0,,,,,,,f,2015,,,
328212,387402,pl,,toyota-dahaitsu group,toyota,toyota motor europe nv sa,,e11*2001-116*0304*10,e15ej(a),nde180(e),nde180l-defnxw(9l),toyota,corolla,m1,,91.0,1395.0,,104.0,,2700.0,1535.0,1535.0,diesel,m,1364.0,66.0,,,,,,,f,2015,,,
57095,241407,gb,,vw group pc,audi ag,audi ag,audi,e1*2001-116*0430*32,b8,hcglcq1,qm6b2007rb8h1s57mjem1,audi,a4 allroad tdi quattro,m1,,11.0,1705.0,,153.0,,2815.0,1588.0,1576.0,diesel,m,1968.0,,,,,,,,f,2015,,,
249788,130546,de,,daimler ag,daimler ag,daimler ag,daimler (d),e1*2001-116*0502*20,207,l30wp0,nzaab402,mercedes-benz,e 220 bluetec,m1,,1.0,1735.0,,120.0,,2760.0,1552.0,1533.0,diesel,m,2143.0,130.0,,,,,,,f,2015,,,
144015,307629,ie,,daimler ag,daimler ag,daimler ag,,e1*2001-116*0431*32,204,r00rp0,nzaab521,mercedes-benz,c220 cdi,m1,,1.0,1570.0,,110.0,,2840.0,1588.0,1534.0,diesel,m,2143.0,,,,,,,,f,2015,,,
436653,124120,de,,daimler ag,daimler ag,daimler ag,daimler (d),,245 g,,,,b200cdi,m1,,2.0,1505.0,,107.0,,,,,petrol,m,2143.0,100.0,,,,,,,f,2015,,,
27029,137563,de,,kia,kia slovakia,kia motors slovakia sro,kia motors (sk),e4*2007-46*0496*00,jd,b5p11,m61cz1,kia,ceed,m1,,1.0,1258.0,,143.0,,2650.0,1553.0,1561.0,petrol,m,1396.0,73.0,,,,,,,f,2015,,,
183110,428845,sk,,honda motor europe ltd,honda uk,honda of the uk manufacturing ltd,honda of the uk manufacturin,e11*2001-116*0302*08,re6,3,4,honda,cr-v,m1,,2.0,1831.0,,180.0,,2630.0,1570.0,1580.0,diesel,m,2199.0,110.0,,,,,,,f,2015,,,
82126,363777,nl,,fca italy spa,fiat group,fca italy spa,fiat group automobiles spa,e3*2007-46*0064*12,312,axg1a,08f,fiat,fiat 500,m1,,3.0,1045.0,,92.0,,2300.0,1413.0,1407.0,petrol,m,875.0,62.0,,,,,,,f,2015,,,
51337,228149,fr,,,mazda,mazda motor corporation,mazda motor corp,e1*2001-116*0448*15,gh,622,62w0,mazda,6,m1,,2.0,1562.0,,119.0,,2830.0,1585.0,1575.0,diesel,m,2191.0,129.0,,,,,,,f,2015,,,
204852,158257,de,,vw group pc,volkswagen,volkswagen ag,volkswagen-vw,e1*2007-46*0627*14,auv,vaccunax0,fm6fm6fb001n7mmmn1ml68vr2,volkswagen,golf,m1,,46.0,1475.0,,115.0,,2620.0,1533.0,1502.0,diesel,m,1968.0,135.0,,,,,,,f,2015,,,
163466,292973,hr,,daimler ag,daimler ag,daimler ag,"daimler ag, 70546 stuttgart, njemacka",e1*2001-116*0413*25,451,5311g0,dzaaa200,smart,fortwo coupe,m1,,4.0,880.0,,93.0,,1873.0,1471.0,1431.0,petrol,m,999.0,52.0,,,,,,,f,2015,,,
318283,205383,fi,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford-werke gmbh,e13*2007-46*1138*15,dyb,pndd16,5zxama,ford,focus,m1,,12.0,1334.0,,146.0,,2648.0,1559.0,1549.0,petrol,m,1596.0,92.0,,,,,,,f,2015,,,
281665,144744,de,,general motors,opel,adam opel ag,opel,e4*2007-46*0204*18,p-j-sw,dbdcc12,ba1k2jdwa5,opel,astra sports tourer,m1,,11.0,1471.0,,136.0,,2685.0,1541.0,1551.0,petrol,m,1364.0,103.0,,,,,,,f,2015,,,
365908,476228,at,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0220*44,7hc,gcxfa320x1,lnad7bt0116nvr27mmg02l65382,"volkswagen, vw",kombi,m1,,1.0,2063.0,,161.0,,3400.0,1622.0,1628.0,diesel,m,1968.0,110.0,,,,,,,f,2016,,,
395963,13080,lu,,vw group pc,audi ag,audi ag,audi ag,e1*2007-46*0414*17,8x,sczeaf1,fm6a8009p8x04lls57mmem2,audi,a1 sportback,m1,,1.0,1220.0,,112.0,,2457.0,1456.0,1450.0,petrol,m,1395.0,110.0,,,,,,,f,2016,,,
230576,153574,dk,,renault,dacia,automobile dacia sa,dacia,e2*2001-116*0314*79,sd,hsdcw,hsdcw6,dacia,duster,m1,,3.0,1318.0,,138.0,,2673.0,1560.0,1567.0,petrol,m,1197.0,92.0,,,,,,,f,2016,,,
199019,394898,se,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2007-46*0627*17,auv,vaccjsbx1,ad6ad6d9004c7mmon1ml69vr2,vw,golf,m1,,253.0,1540.0,,153.0,,2620.0,1533.0,1502.0,petrol,m,1798.0,132.0,,,,,,,f,2016,,,
454889,340284,be,,general motors,opel,adam opel ag,opel,e4*2007-46*0996*02,b-k,cb0febb12,bk1g3jbkk5,opel,astra+,m1,,6.0,1350.0,,103.0,,2662.0,1548.0,1565.0,diesel,m,1598.0,100.0,,,,,,,f,2016,,,
423353,86262,fr,,vw group pc,skoda,skoda auto as,skoda auto as,e11*2007-46*0243*09,5e,aackfcx0,nfm6fm62q025stvl7,skoda,octavia,m1,,1.0,1330.0,,106.0,,2668.0,1533.0,1504.0,diesel,m,1968.0,110.0,,,,,,,f,2016,,,
265752,24333,de,,general motors,opel,adam opel ag,opel,e4*2007-46*0204*24,p-j-sw,ecdlc12,ba2m3japj5,opel,zafira tourer,m1,,1.0,1613.0,,152.0,,2760.0,1577.0,1577.0,petrol,m,1364.0,103.0,,,,,,,f,2016,,,
110431,443251,ee,,,automobiles citroen,automobiles citroen,automobiles citroen,e2*2007-46*0356*9,3,a5gz,t-1s,citroen,c4 picasso,m1,,2.0,1395.0,,130.0,,2840.0,1587.0,1590.0,petrol,m,1598.0,121.0,,,,,,,f,2016,,,
218408,378722,it,,renault,renault,renault sas,renault s.a.s.,e2*2001-116*0327*78,r,2rbr,2rbr1c,renault,captur,m1,,10.0,1265.0,,101.0,,2606.0,1531.0,1516.0,diesel,m,1461.0,81.0,,,,,,,f,2016,,,
386912,65439,be,,vw group pc,audi ag,audi ag,audi,e1*2001-116*0430*34,b8,acsuaf1,fm6b1002pb803s57mmem1,audi,a4 avant,m1,,7.0,1670.0,,125.0,,2817.0,1550.0,1538.0,diesel,m,1968.0,110.0,,,,,,,f,2016,,,
261082,33630,fr,,general motors,opel,adam opel ag,adam opel ag,e4*2007-46*0204*22,p-j-sw,ebhmc12,ba2s1fpha7,opel,zafira tourer,m1,,1.0,1901.0,,129.0,,2760.0,1577.0,,diesel,m,1956.0,125.0,,,,,,,f,2016,,,
213102,428367,be,,vw group pc,volkswagen,volkswagen ag,volkswagen,e1*2007-46*0627*12,auv,saccxxax0,fm5fm5a4051n7mmon1vl01vr2,"volkswagen, vw",golf sportsvan,m1,,1.0,1415.0,,101.0,,2670.0,1533.0,1504.0,diesel,m,1598.0,66.0,,,,,,,f,2016,,,
162228,329820,se,,fca italy spa,chrysler,fca us llc,chrysler group llc,e4*2001-116*0116*20,jk,jxjf9,f5hd3a,jeep,wrangler unlimited,m1g,,36.0,2073.0,,230.0,,2947.0,1572.0,1572.0,diesel,m,2776.0,147.0,,,,,,,f,2016,,,
283134,120916,es,,bmw group,bmw ag,bayerische motoren werke ag,bayerische motoren werke ag,e1*2007-46*0315*15,3k,8l71,6a250000,bmw,316d,m1,,6.0,1585.0,,116.0,,2810.0,1543.0,1583.0,diesel,m,1995.0,85.0,,,,,,,f,2016,,,
450259,335654,be,,general motors,opel,adam opel ag,opel,e4*2007-46*0996*01,b-k,ca0daab12,bk1e1khgk5,opel,astra+,m1,,3.0,1278.0,,117.0,,2662.0,1548.0,1565.0,petrol,m,1399.0,92.0,,,,,,,f,2016,,,
274481,2318,fr,,suzuki pool,magyar suzuki,magyar suzuki corporation ltd,magyar suzuki corp,e4*2007-46*0779*04,jy,b02s,mt,suzuki,sx4,m1,,37.0,1275.0,,119.0,,2600.0,1535.0,1505.0,petrol,m,998.0,82.0,,,,,,,f,2016,,,
140886,54868,si,,vw group pc,skoda,skoda auto as,skoda auto as,e11*2001-116*0326*38,3t,acdfcax01,nfd6fd6d9002st627,skoda,superb - combi 2.0 - tdi aut.,m1,,8.0,1575.0,,120.0,,2836.0,1578.0,1566.0,diesel,m,1968.0,140.0,,,,,,,f,2016,,,
93940,454097,de,,,automobiles citroen,automobiles citroen,citroen (f),e2*2007-46*0356*09,3,abhz,m-1s,citroen,c4 picasso,m1,,36.0,1422.0,,106.0,,2840.0,1587.0,1590.0,diesel,m,1560.0,88.0,,,,,,,f,2016,,,
99045,377957,se,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0211*38,1t,crkbac,fm6fm62s0267mms50vr261,vw,touran,m1,,1.0,1539.0,,116.0,,2786.0,1561.0,1534.0,diesel,m,1598.0,81.0,,,,,,,f,2016,,,
481732,123455,fr,,vw group pc,volkswagen,volkswagen ag,volkswagen ag,e1*2001-116*0307*43,3c,aacrlbx0,fd6fd6d9002sv7mmvr263,volkswagen,passat,m1,,221.0,1501.0,,116.0,,2786.0,1578.0,1562.0,diesel,m,1968.0,110.0,,,,,,,f,2016,,,
420859,89323,be,,vw group pc,audi ag,audi ag,audi,e1*2007-46*0436*24,4g,acsudf1,fm6cs002p4g02s57mmem2,audi,a6 avant,m1,,19.0,1765.0,,117.0,,2914.0,1612.0,1608.0,diesel,m,1968.0,110.0,,,,,,,f,2016,,,
7278,239778,pt,,ford-werke gmbh,ford werke gmbh,ford-werke gmbh,ford-werke gmbh,e13*2001-116*0185*26,wa6,t8cj1jx,7gcauaqk,ford,s-max,m1,,4.0,1734.0,,129.0,,2850.0,1606.0,1606.0,diesel,m,1997.0,132.0,,,,,,,f,2016,,,
157580,311283,be,,general motors,opel,adam opel ag,opel,e1*2001-116*0379*34,s-d,badrc12,ax2d3efxj5,opel,corsa-e,m1,,1.0,1141.0,,112.0,,2510.0,1472.0,1464.0,petrol,m,1398.0,66.0,,,,,,,f,2016,,,
